matchid,date,surface,player1_name,player2_name,target,elo_diff,surface_elo_diff,fatigue_diff,odds_diff,h2h_wins_diff,win_pct_3m_diff,dominance_roll_diff,recent_matches_30d_diff,days_since_last_diff,tournament_strength,ace_pct_diff,df_pct_diff,first_serve_pct_diff,first_serve_win_pct_diff,second_serve_win_pct_diff,bp_saved_pct_diff,avgw,avgl,implied_prob_w,implied_prob_l,model_prob_p1,model_prob_p2,implied_prob_p1,implied_prob_p2,prob_diff_p1,prob_diff_p2
22254,2024-01-05,Hard,Rinky Hijikata,Grigor Dimitrov,0,-147.27,-143.27,13.46,4.75,0,-30.0,-8.48,0,0,2,-16.98,3.02,-6.35,-11.14,-35.81,-42.86,3.875,-0.875,0.25806451612903225,-1.1428571428571428,0.00084111217,0.99915886,-1.1428571428571428,0.25806451612903225,1.1436982550242516,0.7410943431238974
22256,2024-01-06,Hard,Roman Safiullin,Holger Rune,0,-236.65,-228.23,14.45,0.84,0,-4.29,0.94,0,0,2,-2.15,2.02,-13.64,7.32,-13.58,21.43,1.92,1.08,0.5208333333333334,0.9259259259259258,0.609119,0.390881,0.9259259259259258,0.5208333333333334,-0.3168069278752361,-0.12995233138402307
22284,2024-01-06,Hard,Juncheng Shang,Andrey Rublev,0,-268.7,-182.55,27.69,4.12,0,31.58,0.04,1,0,2,-7.12,2.83,1.57,-9.09,-9.87,-30.36,3.56,-0.56,0.2808988764044944,-1.7857142857142856,0.007826245,0.99217373,-1.7857142857142856,0.2808988764044944,1.7935405311041643,0.7112748549225625
22257,2024-01-06,Hard,Grigor Dimitrov,Jordan Thompson,1,250.47,204.02,-13.35,-2.84,0,14.58,0.63,1,0,2,6.86,2.86,4.26,25.13,-15.42,28.57,2.92,0.08000000000000007,0.3424657534246575,12.49999999999999,0.9959313,0.0040686727,0.3424657534246575,12.49999999999999,0.6534655739183295,-12.495931327342976
22283,2024-01-06,Hard,Emil Ruusuvuori,Sebastian Ofner,1,181.35,260.53,3.1,-0.66,0,13.33,-2.53,0,0,2,-0.77,0.14,12.18,8.57,7.14,-25.0,1.83,1.17,0.5464480874316939,0.8547008547008548,0.98135066,0.01864934,0.5464480874316939,0.8547008547008548,0.43490257289240275,-0.8360515150249515
22313,2024-01-07,Hard,Marcos Giron,Daniel Altmaier,0,200.51,7.53,-26.81,-0.97,0,5.36,1.11,-2,59,2,-6.61,1.78,-3.16,-15.18,-2.15,-17.14,1.9849999999999999,1.0150000000000001,0.5037783375314862,0.9852216748768472,0.00828974,0.99171025,0.9852216748768472,0.5037783375314862,-0.9769319344559693,0.4879319080777973
22258,2024-01-07,Hard,Grigor Dimitrov,Holger Rune,1,16.13,38.72,-10.08,0.07,0,14.58,0.0,0,0,2,1.34,-0.46,9.22,1.06,15.85,11.11,1.535,1.465,0.6514657980456027,0.68259385665529,0.9717217,0.028278291,0.6514657980456027,0.68259385665529,0.320255910728964,-0.6543155654298567
22314,2024-01-07,Hard,Aleksandar Vukic,Taro Daniel,0,-44.6,-81.6,3.15,0.38,-1,0.0,14.84,0,0,2,-1.54,-4.87,-8.97,-6.12,18.85,-28.57,1.69,1.31,0.591715976331361,0.7633587786259541,0.26590416,0.7340958,0.7633587786259541,0.591715976331361,-0.4974546202721486,0.1423798355125111
22285,2024-01-07,Hard,Andrey Rublev,Emil Ruusuvuori,1,260.08,138.57,-21.13,-2.3,1,-14.91,4.28,-1,0,2,0.56,-6.45,6.06,5.83,25.6,28.57,2.65,0.3500000000000001,0.37735849056603776,2.8571428571428563,0.9980381,0.0019618869,0.37735849056603776,2.8571428571428563,0.6206796225511803,-2.8551809702600743
22287,2024-01-08,Hard,Tomas Martin Etcheverry,Alexander Shevchenko,0,-100.21,-94.35,-4.86,0.46,0,-23.81,5.06,-1,1,2,3.91,-1.6,4.83,-0.95,1.02,-9.74,1.73,1.27,0.5780346820809249,0.7874015748031495,0.31999415,0.68000585,0.7874015748031495,0.5780346820809249,-0.4674074232108949,0.10197116632682046
