Player,Overall Elo,Hard Elo,Clay Elo,Grass Elo,Last Match,Matches Last 6M,Career Matches,Avg Elo Faced,Matches vs Top 20,Winrate vs Top 20,Matches vs Top 50,Winrate vs Top 50
Wessels L.,1335.94,1335.94,1335.94,1335.94,2023-06-20,0,1,1504.15,0,0.0,0,0.0
Michelsen A.,1534.86,1541.11,1479.16,1514.59,2025-01-20,0,81,1550.14,4,0.0,16,0.38
Loffhagen G.,1328.25,1328.25,1328.25,1328.25,2023-07-05,0,2,1571.27,0,0.0,1,0.0
Mayot H.,1462.96,1484.96,1489.64,1488.36,2025-01-28,0,19,1477.15,0,0.0,3,0.0
Fery A.,1331.75,1331.75,1331.75,1331.75,2024-07-01,0,2,1588.35,1,0.0,1,0.0
Spizzirri E.,1340.57,1444.04,1340.57,1348.68,2024-08-27,0,4,1421.08,0,0.0,0,0.0
Virtanen O.,1388.58,1409.7,1404.58,1507.65,2025-01-12,0,11,1533.46,0,0.0,3,0.0
Quinn E.,1386.07,1390.51,1386.07,1437.8,2024-07-17,0,8,1419.91,0,0.0,0,0.0
Piros Z.,1368.4,1371.28,1379.67,1368.4,2023-11-07,0,3,1480.87,0,0.0,0,0.0
Kumar O.,1353.88,1353.88,1353.88,1353.88,2024-08-19,0,5,1489.83,0,0.0,0,0.0
Mansouri S.,1349.38,1349.38,1349.38,1349.38,2023-08-02,0,1,1629.96,0,0.0,1,0.0
King D.,1346.74,1346.74,1346.74,1346.74,2023-08-21,0,1,1425.12,0,0.0,0,0.0
Kirchheimer S.,1336.72,1336.72,1336.72,1336.72,2024-08-19,0,2,1424.99,0,0.0,0,0.0
Droguet T.,1403.21,1413.68,1411.44,1403.21,2024-11-05,0,4,1509.15,0,0.0,0,0.0
Mensik J.,1576.4,1581.36,1512.08,1482.97,2025-01-17,0,49,1526.33,1,0.0,13,0.46
Moreno De Alboran N.,1381.97,1391.08,1435.06,1381.97,2024-07-25,0,17,1445.11,0,0.0,1,0.0
Mu T.,1357.69,1357.69,1357.69,1357.69,2023-09-20,0,1,1487.92,0,0.0,0,0.0
Atmane T.,1449.82,1450.78,1499.04,1449.82,2024-10-07,0,14,1542.4,1,0.0,3,0.0
Li Zh.,1354.41,1354.41,1354.41,1354.41,2023-09-20,0,1,1456.5,0,0.0,0,0.0
Saville L.,1352.98,1352.98,1352.98,1352.98,2023-09-21,0,1,1428.5,0,0.0,0,0.0
Zhou Y.,1375.78,1375.78,1375.78,1375.78,2024-10-07,0,7,1496.78,0,0.0,1,0.0
Lock B.,1357.74,1357.74,1357.74,1357.74,2023-09-21,0,1,1512.32,0,0.0,0,0.0
Sekulic P.,1363.37,1363.37,1363.37,1363.37,2023-10-05,0,3,1501.42,0,0.0,0,0.0
Cui J.,1355.82,1355.82,1355.82,1355.82,2023-09-21,0,1,1456.37,0,0.0,0,0.0
Mo Y.,1359.0,1359.0,1359.0,1359.0,2023-09-21,0,1,1568.84,0,0.0,0,0.0
Yevseyev D.,1411.13,1404.27,1436.86,1411.13,2024-09-19,0,4,1464.17,0,0.0,0,0.0
Bu Y.,1453.2,1453.2,1453.2,1453.2,2025-01-31,0,21,1513.99,1,0.0,7,0.43
Te R.,1358.27,1358.27,1358.27,1358.27,2023-10-04,0,1,1451.15,0,0.0,0,0.0
Lajal M.,1373.63,1377.75,1373.63,1373.82,2024-07-01,0,3,1664.23,1,0.0,1,0.0
Friberg K.,1363.86,1363.86,1363.86,1363.86,2023-10-16,0,1,1522.6,0,0.0,0,0.0
Hassan B.,1400.07,1410.27,1444.63,1400.07,2024-10-15,0,4,1438.37,0,0.0,0,0.0
Blockx A.,1384.1,1384.1,1384.1,1384.1,2024-10-15,0,2,1475.24,0,0.0,0,0.0
Martineau M.,1355.01,1366.99,1355.01,1370.33,2024-06-11,0,2,1512.92,0,0.0,0,0.0
Hemery C.,1363.64,1363.64,1363.64,1363.64,2023-11-06,0,1,1389.97,0,0.0,0,0.0
Valkusz M.,1380.49,1380.49,1380.49,1380.49,2024-01-16,0,3,1428.5,0,0.0,0,0.0
Harris B.,1455.63,1426.51,1455.63,1474.25,2024-10-03,0,14,1449.7,0,0.0,0,0.0
Wong C.,1426.05,1440.25,1426.05,1485.79,2024-12-31,0,8,1494.82,0,0.0,0,0.0
Mccabe J.,1431.57,1448.84,1431.57,1482.73,2025-01-16,0,6,1399.47,0,0.0,0,0.0
Walton A.,1396.57,1411.24,1488.58,1496.75,2025-01-12,0,17,1430.59,0,0.0,2,0.0
Jasika O.,1390.79,1390.79,1390.79,1390.79,2025-01-12,0,2,1569.39,0,0.0,1,0.0
Escoffier A.,1380.5,1380.5,1380.5,1380.5,2024-01-30,0,1,1362.11,0,0.0,0,0.0
Blanchet U.,1422.89,1423.7,1441.44,1422.89,2024-07-17,0,3,1429.11,0,0.0,0,0.0
Gomez F.,1408.09,1430.79,1421.72,1408.09,2024-12-31,0,4,1413.31,0,0.0,0,0.0
Navone M.,1459.12,1452.21,1525.28,1481.62,2025-01-13,0,44,1509.19,0,0.0,8,0.12
Burruchaga R.,1405.63,1405.63,1405.63,1405.63,2024-05-28,0,4,1462.54,0,0.0,0,0.0
Comesana F.,1451.13,1488.19,1442.69,1520.25,2025-01-14,0,13,1507.08,0,0.0,2,0.5
Neff A.,1388.69,1388.69,1388.69,1388.69,2024-02-07,0,1,1484.05,0,0.0,0,0.0
Heide G.,1414.05,1414.05,1414.05,1414.05,2024-07-24,0,6,1456.95,0,0.0,0,0.0
Damm M.,1422.72,1422.72,1422.72,1422.72,2024-03-24,0,3,1512.74,0,0.0,1,1.0
Blanch D.,1393.57,1404.25,1411.7,1393.57,2024-04-25,0,2,1560.3,0,0.0,1,0.0
Dougaz A.,1404.55,1419.25,1415.06,1404.55,2025-01-13,0,2,1507.35,0,0.0,0,0.0
Gigante M.,1423.38,1433.09,1429.64,1423.38,2025-01-12,0,4,1485.14,0,0.0,0,0.0
Jorda Sanchis D.,1416.24,1416.24,1416.24,1416.24,2024-04-04,0,2,1476.31,0,0.0,0,0.0
Faria J.,1428.31,1465.42,1418.2,1428.31,2025-01-15,0,4,1583.71,1,0.0,1,0.0
Moro Canas A.,1431.26,1443.06,1456.94,1441.41,2024-12-31,0,4,1524.16,0,0.0,1,0.0
Hardt N.,1424.03,1424.03,1424.03,1424.03,2024-07-16,0,3,1441.82,0,0.0,0,0.0
Sanchez Izquierdo N.,1412.53,1412.53,1412.53,1412.53,2024-05-20,0,1,1477.55,0,0.0,0,0.0
Barranco Cosano J.,1409.2,1409.2,1409.2,1409.2,2024-05-20,0,1,1430.19,0,0.0,0,0.0
Fanselow S.,1412.95,1412.95,1412.95,1412.95,2024-05-21,0,1,1485.3,0,0.0,0,0.0
